№;Название;Страна;Широта;Долгота;Адрес;Производство;Сырье;Экспорт;Импорт;Статус
14;Каменск-Уральский металлургический завод (КУМЗ);РФ;56.3539;61.9861;623405, Свердловская область, г. Каменск-Уральский, ул. Заводская, 5;Алюминиевая и магниевая продукция (листы, профили, поковки);Алюминий, магний;В США, Канаду, Европу, Китай (45% экспорта);Замещает импорт алюминиевых листов;Никогда
15;Новосибирский металлургический завод им. Кузьмина;РФ;55.004695;82.9089;630108, г. Новосибирск, ул. Станционная, 28;Листовой прокат, трубы, профили, холоднокатаная лента;Сталь;В основном на внутренний рынок;—;Никогда
16;Красноярский металлургический завод (КраМЗ);РФ;56.0094;92.9327;660111, г. Красноярск, ул. Пограничников, 42;Слитки, прессованные профили, трубы, поковки из алюминиевых сплавов;Алюминий;В США, ЕС, Южную Корею, Турцию, Австралию;—;Никогда
17;Кузнечно-механический завод «Ижора-Металл»;РФ;59.7461;30.5895;196653, г. Санкт-Петербург, Колпино, ул. Карла Маркса, 13;Прессовые и молотовые поковки, штамповки;Сталь;Не является крупным экспортером;—;Никогда
18;Металлургический завод Петросталь;РФ;59.8906;30.2699;198097, г. Санкт-Петербург, проспект Стачек, 47;Сортовой прокат, стальное литье;Сталь;Ранее 80% – экспорт, сейчас – внутренний рынок, поставки в СНГ, Европу;—;Никогда
19;Абинский электрометаллургический завод (АЭМЗ);РФ;44.881938;38.127510;353320, Краснодарский край, г. Абинск, ул. Промышленная, 4;Арматура;Лом черных металлов;Крупный экспортер в ЮФО, более чем в 50 стран;Замещает импорт проволоки;Никогда
20;УК «МЕТАЛЛОИНВЕСТ»;РФ;55.9176;37.8170;141090, Московская обл., г. Королёв, мкр Юбилейный, ул. Ленинская, 12;Горячебрикетированное железо (ГБЖ), железорудная продукция;Железная руда (собственная добыча);Мировой лидер по ГБЖ (50% рынка);—;Никогда
21;Тульский МеталлоПрокатный Завод (ТМПЗ);РФ;54.1670;37.5691;300004, г. Тула, ул. Щегловская засека, 31;Арматурный и неарматурный прокат;Сталь;Поставки в Германию (Peri);—;Никогда
22;Тулачермет;РФ;54.156726;37.725551;300016, г. Тула, ул. Пржевальского, 2;Товарный чугун;Железная руда, кокс;Крупнейший экспортер чугуна в РФ (>60% российского экспорта) – в США, Европу, Азию;Техническое оборудование;Никогда
23;Косогорский металлургический завод (КМЗ);РФ;57.115131;51.435429;300903, г. Тула, пос. Косая Гора, Орловское шоссе, 4;Высокочистый чугун, ферромарганец;Железная руда, марганцевая руда;В США, Европу, Азию;Доля импорта в сырье;Никогда
24;Ступинская металлургическая компания (СМК);РФ;54.904606;38.080799;142800, Московская обл., г. Ступино, ул. Пристанционная, 2;Изделия из жаропрочных никелевых и титановых сплавов;Никель, титан;В США, Италию, Японию, Южную Корею;Импортозамещение;Никогда
25;Металлургический завод «Электросталь»;РФ;55.7863;38.4598;144002, Московская обл., г. Электросталь, ул. Железнодорожная, 1;Поковки, прутки, листы, проволока;Сталь;В СНГ и Европу;Импортозамещающая продукция;Никогда
26;Новолипецкий металлургический комбинат (НЛМК);РФ;52.6162;39.6005;398040, г. Липецк, пл. Металлургов, 2;Чугун, слябы, холоднокатаная, горячекатаная, оцинкованная сталь;Железная руда (Стойленский ГОК);60% выручки – экспорт (ЕС, США, Турция);—;Никогда
27;Оскольский завод металлургического машиностроения (ОЗММ);РФ;51.2959;37.8415;309530, Белгородская обл., г. Старый Оскол, мкр. Жукова, 34;Запчасти для горного и металлургического оборудования;Сталь;—;—;Никогда
28;Липецкая площадка;РФ;52.6162;39.6005;398040, г. Липецк;Сырье для чугуна и стали, плоский прокат;Железная руда, кокс;Входит в НЛМК;—;Никогда
29;ВИЗ-Сталь;РФ;56.8011;60.5850;620085, г. Екатеринбург, ул. Металлургов, 2;Холоднокатаная электротехническая сталь;Сталь;Входит в НЛМК;—;Никогда
30;ЕВРАЗ Нижнетагильский металлургический комбинат (ЕВРАЗ НТМК);РФ;57.9052;59.9645;622025, Свердловская обл., г. Нижний Тагил, ул. Металлургов, 1;Рельсы, балки, трубы большого диаметра;Железная руда, кокс, лом;Входит в ЕВРАЗ;—;Никогда
31;ЕВРАЗ Объединенный Западно-Сибирский металлургический комбинат (ЕВРАЗ ЗСМК);РФ;53.7496;87.1094;654043, Кемеровская обл., г. Новокузнецк, ш. Космическое, 16;Арматура, проволока, листовой прокат;Железная руда, кокс, лом;Входит в ЕВРАЗ;—;Никогда
32;Уральская Сталь;РФ;51.2261;58.3101;462353, Оренбургская обл., г. Новотроицк, ул. Заводская, 1;Чугун, сталь, прокат, литье;Железная руда, кокс, лом;—;—;Никогда
33;Оскольский электрометаллургический комбинат (ОЭМК);РФ;51.2904;37.8685;309530, Белгородская обл., г. Старый Оскол, мкр. Жукова, 35;ПВЖ, прокат, стальные мелющие шары;Прямовосстановленное железо (ПВЖ);В Германию, Францию, США, Италию, Турцию;—;Никогда
34;ММК-Лысьвенский металлургический завод (ММК-ЛМЗ);РФ;58.0909;57.8043;618900, Пермский край, г. Лысьва, ул. Коммунаров, 1;Оцинкованный прокат и прокат с полимерным покрытием;Сталь;Входит в ММК;—;Никогда
35;Магнитогорский металлургический комбинат (ММК);РФ;53.3786;59.0356;455000, Челябинская обл., г. Магнитогорск, ул. Кирова, 93;Сортовой, фасонный прокат, трубы, слябы;Железная руда (15% самообеспечения), уголь (51%);В Турцию, Иран, Италию (14% продаж);Оборудование из Китая и Германии;Никогда
36;Нижнесергинский метизно-металлургический завод (Нлмк-Сорт);РФ;56.8497;59.9084;623280, Свердловская обл., г. Ревда (совпадает с НЛМК-Урал);Заготовка и сортовой прокат;Сталь;Входит в НЛМК-Урал;—;Никогда
37;Выксунский металлургический завод (ВМЗ);РФ;55.3192;42.1761;607060, Нижегородская обл., г. Выкса, ул. Братьев Баташевых, 1;Трубы большого диаметра, железнодорожные колеса;Сталь;Поставщик магистральных газопроводов;—;Никогда
38;Чусовской металлургический завод (ЧМЗ);РФ;58.3069;57.8101;618204, Пермский край, г. Чусовой, ул. Металлургов, 1;Трубы, арматура, прокат, железнодорожные колеса, рессоры;Сталь;В Финляндию, Италию, Германию, Китай, США;—;Никогда
39;Щелковский металлургический завод (Щелмет);РФ;55.9231;37.9840;141101, Московская обл., г. Щёлково, ул. Заречная, 105;Сверхтонкие ленты из холоднокатаных сталей и сплавов;Сталь;—;—;Никогда
40;ПромСорт-Калуга;РФ;55.1906;36.6347;249020, Калужская обл., Боровский р-н, с. Ворсино;Стальной прокат строительного назначения;Сталь;—;—;Никогда
41;ВКМ-Сталь;РФ;54.1830;45.1743;430904, Республика Мордовия, г. Саранск, ш. Александровское, 9;Литейная продукция для ж/д, автомобильной и нефтегазовой отраслей;Чугун, сталь;—;—;Никогда
42;Северсталь-Вторчермет;РФ;59.1516;37.9044;162600, Вологодская обл., г. Череповец, ул. Металлургов, 1;Закупка, переработка и продажа лома черных металлов;Лом черных металлов;Входит в Северсталь;—;Никогда
43;Череповецкий металлургический комбинат (ЧерМК);РФ;59.1516;37.9044;162600, Вологодская обл., г. Череповец, ул. Металлургов, 1;Сортовой, фасонный, горячекатаный, холоднокатаный прокат;Железная руда, кокс, лом;Входит в Северсталь. Экспорт практически отсутствует;—;Никогда
44;Надеждинский металлургический завод;РФ;59.6127;60.5735;624992, Свердловская обл., г. Серов, ул. Красноармейская, 1;Калиброванный прокат, трубы, слитки;Сталь;—;—;Никогда
45;Уральская кузница (Уралкуз);РФ;54.9970;60.3822;456418, Челябинская обл., г. Чебаркуль, ул. Металлургов, 1;Штамповки для машиностроения, авиации, нефтегаза;Сталь;—;—;Никогда
46;Ижсталь;РФ;56.8508;53.2154;426006, Удмуртская Республика, г. Ижевск, ул. Новоажимова, 6;Специальные марки стали, нержавеющий сортовой прокат;Сталь, легирующие добавки;В США, Европу, Центральную Азию;—;Никогда
47;Челябинский металлургический комбинат (ЧМК);РФ;55.1039;61.4086;454047, г. Челябинск, ул. 2-я Павелецкая, 14;Металлургическая продукция для строительства;Сталь;—;—;Никогда
48;Технотур;РФ;56.5040;60.7610;624022, Свердловская обл., г. Сысерть, ул. Ленина, 54;Детали для машиностроения, арматуры, дробилок;Сталь;—;—;Никогда
49;Нефтепром-Энерго;РФ;56.8508;53.2154;426006, Удмуртская Республика, г. Ижевск;Литейная продукция из стали и чугуна, оборудование для нефтедобычи;Чугун, сталь;—;—;Никогда
50;НПП Метчив;РФ;55.1039;61.4086;454047, г. Челябинск;Прокат из нержавеющих, жаропрочных, специальных сталей;Специальные стали;—;—;Никогда
51;РМ-стил;РФ;59.8906;30.2699;198097, г. Санкт-Петербург;Специальный профильный прокат для судостроения;Сталь;—;—;Никогда
52;Борский Завод Металлургии и машиностроения;РФ;56.3577;44.0716;606440, Нижегородская обл., г. Бор, ул. Ленина, 63;Стальное и чугунное литье, поковки;Чугун, сталь;—;—;Никогда
53;Завод Стального Проката;РФ;56.8011;60.5850;620085, г. Екатеринбург;Черный и оцинкованный металлопрокат;Сталь;—;—;Никогда
54;Завод по производству металлических порошков (ПМП);РФ;54.6199;39.7442;390042, г. Рязань;Порошки (оловянный, свинцовый, медный);Олово, свинец, медь;—;—;Никогда
55;Петербургский завод прецизионных сплавов (ПЗПС);РФ;59.8906;30.2699;198097, г. Санкт-Петербург;Холоднокатаная лента из прецизионных сплавов;Прецизионные сплавы;—;—;Никогда
56;Мценский завод по обработке цветных металлов (МЗОЦМ);РФ;53.2779;36.5744;303030, Орловская обл., Мценский р-н, п. Воля;Прокат из латуни, бронзы, меди, алюминия;Латунь, бронза, медь, алюминий;—;—;Никогда
57;Калужский завод по обработке цветных металлов;РФ;54.5137;36.2619;248010, г. Калуга, ул. Московская, 247;Плакированные ленты;Сталь, цветные металлы;—;—;Никогда
58;Германий;РФ;56.0094;92.9327;660111, г. Красноярск;Производство германия и его соединений;Германий;—;—;Никогда
59;Новороссийский прокатный завод;РФ;47.7063;40.2135;346500, Ростовская обл., г. Шахты, ул. Мельникова, 1;Квадратная заготовка, арматура, проволока;Сталь;—;—;Никогда
60;Уральский металлургический завод;РФ;56.8011;60.5850;620085, г. Екатеринбург;Стальные поковки;Сталь;—;—;Никогда
61;Металл ГОСТ;РФ;54.8759;37.2188;142281, Московская обл., г. Протвино, ул. Железнодорожная, 1;Арматура, балки, швеллер, лист, трубы;Сталь;—;—;Никогда
62;Литейно-механический завод Новый;РФ;57.0825;54.1601;427413, Удмуртская Респ., Воткинский р-н, п. Новый;Чугунные и стальные заготовки;Чугун, сталь;—;—;Никогда
63;Березовский завод емкостей;РФ;56.9103;60.8215;623700, Свердловская обл., г. Березовский, ул. Школьная, 1;Резервуары, емкости;Сталь;—;—;Никогда
64;Новоалтайский литейно-механический завод;РФ;53.4114;83.9468;658080, Алтайский край, г. Новоалтайск, ул. Октябрьская, 2;Стальные и чугунные изделия для горной промышленности;Чугун, сталь;—;—;Никогда
65;Промстройметалл;РФ;59.8906;30.2699;198097, г. Санкт-Петербург;Стальной лист, металлообработка;Сталь;—;—;Никогда
66;Оскольский завод металлических конструкций;РФ;51.2959;37.8415;309530, Белгородская обл., г. Старый Оскол;Металлоконструкции;Сталь;—;—;Никогда
67;Думиничская производственная компания;РФ;53.9127;35.1093;249310, Калужская обл., п. Думиничи, ул. Машиностроителей, 1;Чугунные люки, дождеприемники;Чугун;—;—;Никогда
68;Уральский Арматурный Завод;РФ;55.1039;61.4086;454047, г. Челябинск;Запорная арматура, детали трубопровода;Сталь;—;—;Никогда
69;Астринсплав СК;РФ;59.8906;30.2699;198097, г. Санкт-Петербург;Изделия из бронзовых и медных сплавов;Бронза, медь;—;—;Никогда
70;ПСК Комстрой;РФ;56.2967;43.9361;603004, г. Нижний Новгород;Строительные металлоконструкции;Сталь;—;—;Никогда
71;АЗТЛ;РФ;53.3486;83.7777;656037, г. Барнаул, ул. Мало-Островская, 64;Запчасти для машиностроения, горно-шахтное оборудование;Сталь;—;—;Никогда
72;Уральский завод вторичных металлов;РФ;55.0456;60.1059;456300, Челябинская обл., г. Миасс;Медный гранулят;Медный лом;—;—;Никогда
73;Свердловский металлургический завод;РФ;56.8011;60.5850;620085, г. Екатеринбург;Проволока, пруток, лист, труба;Сталь;—;—;Никогда
74;ПРОМЭКЗ;РФ;58.0043;56.1820;614514, Пермский р-н, с. Фролы;Пруток, проволока, труба;Сталь;—;—;Никогда
75;Мценскпрокат;РФ;53.2779;36.5744;303030, Орловская обл., г. Мценск;Аноды, ленты, листы, слитки;Цветные металлы;—;—;Никогда
76;Северный Металлоцентр;РФ;59.8906;30.2699;198097, г. Санкт-Петербург;Поковки для судостроения, металлургии, атомной отрасли;Сталь;—;—;Никогда
77;Челябинский опытно-экспериментальный завод (ЧОЭЗ);РФ;55.1039;61.4086;454047, г. Челябинск;Графитированные электроды, тигли;Графит;—;—;Никогда
78;Вишневогорский металлургический завод «Северный ниобий»;РФ;55.9813;60.6624;456835, Челябинская обл., Каслинский р-н;Ферросплавы, лигатуры, порошки металлов;Ниобий, ферросплавы;—;—;Никогда
79;Староуткинский металлургический завод (СМЗ);РФ;57.2510;59.3349;623102, Свердловская обл., п.г.т. Староуткинск;Технические дроби;Сталь, чугун;—;—;Никогда
80;Металлургический завод Балаково;РФ;52.0259;47.7941;413840, Саратовская обл., Балаковский р-н, с. Быков Отрог;Арматура, уголок, швеллер;Сталь;—;—;Никогда
81;Волгоградский металлургический комбинат «Красный Октябрь»;РФ;48.7071;44.5169;400007, г. Волгоград, ул. Пролетарская, 1;Трубная заготовка, горячекатаный и холоднокатаный прокат;Сталь;—;—;Никогда
82;Московский металлургический завод «Серп и молот»;РФ;55.7507;37.6644;105122, г. Москва, ул. Золоторожский Вал, 11;Стальная лента из нержавеющей стали, сварные трубы;Нержавеющая сталь;—;—;Никогда
83;ИТ-Ресурс;РФ;59.8906;30.2699;198097, г. Санкт-Петербург;Холодная штамповка из листового металла;Листовой металл;—;—;Никогда
84;Завод точного стального литья;РФ;56.1431;47.2488;428022, г. Чебоксары, ул. 324-й Стрелковой Дивизии, 21;Чугунное и стальное литье;Чугун, сталь;—;—;Никогда
85;Литейно-Механический Завод Урал;РФ;52.5340;85.2063;659301, Алтайский край, г. Бийск;Чугунное и стальное литье;Чугун, сталь;—;—;Никогда
86;Тольяттинский ферросплавный завод;РФ;53.5078;49.4216;445008, г. Тольятти, ул. Ленина, 1;Фланцы, фитинги, арматура, ферросплавы;Ферросплавы, сталь;—;—;Никогда
87;Златоустовский металлургический завод;РФ;55.1613;59.6765;456200, Челябинская обл., г. Златоуст, ул. Металлургов, 1;Сортовой прокат, калиброванная сталь;Сталь;—;—;Никогда
88;Купертино-Групп;РФ;56.8011;60.5850;620085, г. Екатеринбург;Медный порошок и пудра;Медь;—;—;Никогда
89;Стил Армор;РФ;55.7060;60.5559;456870, Челябинская обл., г. Кыштым, ул. Карла Либкнехта, 1;Стальная оснастка для мельниц;Сталь;—;—;Никогда
90;ПО Завод ТехМеталл;РФ;59.8906;30.2699;198097, г. Санкт-Петербург;Гидроцилиндры;Сталь;—;—;Никогда
91;Русские Стальные Конструкции;РФ;54.1937;37.6145;300041, г. Тула, ул. Советская, 1;Металлокаркасы, фермы, колонны;Сталь;—;—;Никогда
92;Нижнетагильский металлургический завод;РФ;57.9052;59.9645;622025, Свердловская обл., г. Нижний Тагил;Цветной и черный металлопрокат;Сталь, цветные металлы;—;—;Никогда
93;Гурьевский Металлургический Завод (ГМЗ);РФ;54.2829;85.9295;652780, Кемеровская обл., г. Гурьевск, ул. Ленина, 1;Мартеновская сталь, уголок, швеллер, мелющие шары;Сталь;—;—;Никогда
94;Завод металлургических флюсов (ЗМФ);РФ;52.6162;39.6005;398040, г. Липецк;Флюсы;Флюсы;—;—;Никогда
95;Фроловская электросталь (ФЭСТ);РФ;49.7741;43.6582;403530, Волгоградская обл., г. Фролово;Непрерывнолитая стальная заготовка;Сталь;—;—;Никогда
96;Аксайский металлургический комплекс;РФ;47.2742;39.8730;346720, Ростовская обл., г. Аксай;Медная катанка и алюминиевые сплавы;Медь, алюминий;—;—;Никогда
97;Сталелитейная компания Памир;РФ;54.3219;48.3806;432072, г. Ульяновск;Детали для насосов из чугуна, запорная арматура;Чугун;—;—;Никогда
98;Нытвенский металлургический завод (Нытва);РФ;57.9329;55.3233;617000, Пермский край, г. Нытва, ул. Ленина, 1;Биметаллические ленты и полосы;Латунь, алюминий, медь, сталь;—;—;Никогда
99;Уралчермет;РФ;56.8011;60.5850;620085, г. Екатеринбург;Трубная продукция;Сталь;—;—;Никогда
100;ПО Бежицкая сталь;РФ;53.3142;34.3154;241050, г. Брянск, ул. Ульянова, 1;Вагонное литье;Чугун, сталь;—;—;Никогда
101;Таганрогский Металлургический Завод;РФ;47.2116;38.9044;347900, Ростовская обл., г. Таганрог, ул. Металлургическая, 1;Трубы обсадные, бурильные, водогазопроводные;Сталь;—;—;Никогда
102;Металлургический завод им. А.К. Серова;РФ;59.6127;60.5735;624992, Свердловская обл., г. Серов;Арматура, заготовка квадратная, калиброванный прокат;Сталь;—;—;Никогда
103;Белорецкий металлургический комбинат;РФ;53.9575;58.3984;453500, Республика Башкортостан, г. Белорецк, ул. Блюхера, 1;Листовой и сортовой прокат, проволока, канаты;Сталь;—;—;Никогда
104;Ключевский завод ферросплавов;РФ;56.4421;60.8336;624022, Свердловская обл., Сысертский р-н, п. Двуреченск;Брикеты, легирующие материалы, феррохром;Феррохром, хром;—;—;Никогда
105;Волга-ФЭСТ;РФ;49.7741;43.6582;403530, Волгоградская обл., г. Фролово;Непрерывнолитая заготовка, щебень, окалина;Сталь;—;—;Никогда
106;Завод точного литья;РФ;54.6199;39.7442;390042, г. Рязань;Чугунное и стальное литье;Чугун, сталь;—;—;Никогда
107;Братский завод ферросплавов;РФ;56.1229;101.6167;665717, Иркутская обл., г. Братск;Ферросилиций;Ферросилиций;—;—;Никогда
108;ОАО «Доломит»;РФ;53.2529;39.1366;399850, Липецкая обл., г. Данков;Доломит сырой, мука известняковая;Доломит;—;—;Никогда
109;Владимирский завод прецизионных сплавов;РФ;56.1390;40.4328;600910, г. Владимир, ул. Куйбышева, 6;Проволока, пруток, лента из прецизионных сплавов;Прецизионные сплавы;—;—;Никогда
110;ОАО «Магнит»;РФ;47.4350;40.0969;346428, Ростовская обл., г. Новочеркасск;Анодные заземлители, стальное литье;Сталь;—;—;Никогда
111;Керченский металлургический завод;РФ;45.3539;36.6591;298304, Республика Крым, г. Керчь, ул. Войкова, 1;Стальное и чугунное литье;Чугун, сталь;—;—;Никогда
112;Завод Промсталь;РФ;52.6162;39.6005;398040, г. Липецк;Металлопродукция из углеродистой и оцинкованной стали;Сталь;—;—;Никогда
113;Липецкая трубная компания «Свободный сокол»;РФ;52.6162;39.6005;398040, г. Липецк, ул. Гагарина, 5;Трубы из ВЧШГ;Высокопрочный чугун;—;—;Никогда
114;Челябинский трубопрокатный завод;РФ;55.1039;61.4086;454047, г. Челябинск;Трубы электросварные и бесшовные;Сталь;—;—;Никогда
115;Белорусский металлургический завод (БМЗ);Беларусь;52.8921;30.0433;247210, г. Жлобин, ул. 50 лет Октября, 1;Арматура, катанка, бесшовные трубы, металлокорд;Сталь, лом;—;—;Никогда
116;Могилевский металлургический завод;Беларусь;53.8953;30.3255;212020, г. Могилев, ул. Гришина, 1;Стальные трубы, чугунная дробь, люки;Сталь, чугун;—;—;Никогда
117;Речицкий метизный завод;Беларусь;52.3703;30.4014;247500, г. Речица, ул. Советская, 1;Гвозди, шурупы, болты, гайки, проволока;Сталь;—;—;Никогда
118;Гомельский литейный завод «ЦЕНТРОЛИТ»;Беларусь;52.4430;30.9841;246008, г. Гомель, ул. Центролит, 1;Отливки для станков, автомобилей, нефтегаза;Чугун, сталь;—;—;Никогда
119;Молодечненский завод металлоконструкций (МЗМК);Беларусь;54.3162;26.8570;222310, г. Молодечно, ул. Великий Гостинец, 1;Строительные металлоконструкции;Сталь;—;—;Никогда
120;Молдавский металлургический завод;Молдова;47.7550;28.9750;г. Рыбница, ул. Металлургов, 1;Сортовой прокат, катанка, арматура;Сталь, лом;—;—;Никогда
121;Бельцкий сталелитейный завод «Бельцы-Сталь»;Молдова;47.7571;27.9190;г. Бельцы;Строительная арматура, катанка;Лом черных металлов;—;—;Никогда
122;Армянская металлургическая компания;Армения;40.1776;44.4996;г. Ереван;Арматура, круги, уголки, катанка;Сталь, лом;—;—;Никогда
123;Мегхметалл;Армения;40.1776;44.4996;г. Ереван;Стальные трубы, металлоконструкции;Сталь;—;—;Никогда
124;Baku Steel Company (BSC);Азербайджан;40.5816;49.7022;г. Сумгаит;Арматура, прутки, катанка, балки;Сталь, лом;—;—;Никогда
125;Baku Pipe Mill;Азербайджан;40.5816;49.7022;г. Сумгаит;Стальные трубы, обсадные трубы;Сталь;—;—;Никогда
126;Азербайджанский трубопрокатный завод;Азербайджан;40.5816;49.7022;г. Сумгаит;Бесшовные трубы, арматура, уголки;Сталь;—;—;Никогда
127;Сумгаитский трубопрокатный завод;Азербайджан;40.5816;49.7022;г. Сумгаит;Бесшовные трубы, чугунные трубы;Сталь, чугун;—;—;Никогда
128;Завод «Araz»;Азербайджан;40.5816;49.7022;г. Сумгаит;Электросварные стальные трубы;Сталь;—;—;Никогда
129;Туркменский трубный завод;Туркменистан;39.9096;52.9909;пос. Киянлы, Балканский велаят;Электросварные трубы;Сталь;—;—;Никогда
130;Завод по производству бесшовных нефтегазовых труб;Туркменистан;39.9096;52.9909;пос. Киянлы;Бесшовные трубы для нефтегаза;Сталь;—;—;Никогда
131;Ашхабадский завод металлоконструкций и проката;Туркменистан;37.9600;58.3800;г. Ашгабат;Металлоконструкции, сортовой прокат;Сталь;—;—;Никогда
132;Таджикская металлургическая компания;Таджикистан;38.5598;68.7818;г. Душанбе;Арматура, сортовой прокат;Сталь, лом;—;—;Никогда
133;Душанбинский завод металлоконструкций и арматуры;Таджикистан;38.5598;68.7818;г. Душанбе;Металлоконструкции;Сталь;—;—;Никогда
134;АрселорМиттал Темиртау;Казахстан;50.0640;72.9983;г. Темиртау;Чугун, сталь, листовой и сортовой прокат;Железная руда, кокс, лом;—;—;Никогда
135;Казахстанский электролизный завод (КЭЗ);Казахстан;53.1502;63.5451;г. Костанай;Слябы, блюмы, листовой и сортовой прокат;Сталь;—;—;Никогда
136;Кармет;Казахстан;49.8222;73.0983;г. Караганда;Слябы, горячекатаный лист, сортовой прокат;Сталь;—;—;Никогда
137;Актюбинский рельсобалочный завод (АРБЗ);Казахстан;50.2834;57.2299;г. Актобе;Рельсы, уголок, швеллер, балка;Сталь;—;—;Никогда
138;Узбекский металлургический комбинат (Узметкомбинат);Узбекистан;40.2061;69.2672;г. Бекабад;Чугун, сталь, сортовой и листовой прокат;Железная руда, кокс, лом;—;—;Никогда
139;Узбекско-Корейский металлургический комплекс (Uz-Kor Met);Узбекистан;41.3108;69.2630;г. Ташкент;Холоднокатаный и оцинкованный лист;Сталь;—;—;Никогда
140;Алмалыкский ГМК;Узбекистан;40.8307;69.6007;г. Алмалык;Сортовой прокат;Сталь;—;—;Никогда
141;Кыргызская сталь;Кыргызстан;42.8667;74.5667;г. Бишкек;Арматура, катанка, сортовой прокат;Сталь, лом;—;—;Никогда
142;АрселорМиттал Кривой Рог (АМКР);Украина;47.8951;33.3923;г. Кривой Рог;Чугун, сталь, сортовой и листовой прокат;Железная руда, кокс, лом;—;—;Никогда
143;Запорожсталь;Украина;47.8388;35.1384;г. Запорожье;Чугун, сталь, горячекатаный и холоднокатаный лист;Железная руда, кокс, лом;—;—;Никогда
144;Азовсталь;Украина;47.1303;37.5841;г. Мариуполь;Чугун, сталь, сортовой прокат, рельсы;Железная руда, кокс, лом;—;—;Никогда
145;ММК им. Ильича;Украина;47.1303;37.5841;г. Мариуполь;Чугун, сталь, листовой прокат;Железная руда, кокс, лом;—;—;Никогда
146;Енакиевский металлургический завод (ЕМЗ);Украина;48.2297;38.2053;г. Енакиево;Чугун, сталь, сортовой прокат, рельсы;Железная руда, кокс, лом;—;—;Никогда
147;Алчевский металлургический комбинат (АМК);Украина;48.4671;38.8071;г. Алчевск;Чугун, сталь, сортовой прокат;Железная руда, кокс, лом;—;—;Никогда
148;Макеевский металлургический комбинат (ММК);Украина;48.0554;37.9477;г. Макеевка;Чугун, сталь, сортовой прокат;Железная руда, кокс, лом;—;—;Никогда
149;Краматорский металлургический завод «ЭСТАР»;Украина;48.7409;37.5841;г. Краматорск;Литейный чугун, листовой прокат;Чугун, сталь;—;—;Никогда
