№;Компания;Страна;Широта;Долгота;Адрес;Тип отхода;Статус
23;ПАО «АрселорМиттал Кривой Рог»;Украина;47.8951;33.3923;50095, Днепропетровская обл., г. Кривой Рог, ул. Орджоникидзе, 1;Доменные и сталеплавильные шлаки;Никогда
24;Металлургический комбинат «Азовсталь»;Украина;47.1303;37.5841;87500, Донецкая обл., г. Мариуполь, ул. Лепорского, 1;Доменный шлак;Никогда
25;Металлургический комбинат им. Ильича;Украина;47.1303;37.5841;87500, Донецкая обл., г. Мариуполь;Доменный шлак;Никогда
26;ПАО «Запорожсталь»;Украина;47.8388;35.1384;г. Запорожье;Доменный шлак;Никогда
27;ПАО «Днепровский металлургический комбинат им. Дзержинского» (ныне «Камет-сталь»);Украина;48.5158;34.6135;51925, г. Каменское, ул. Соборная, 18Б;Доменный шлак;Никогда
28;Енакиевский металлургический завод;Украина;48.2297;38.2053;86429, Донецкая обл., г. Енакиево, пр. Металлургов, 9;Доменный шлак;Никогда
29;Алчевский металлургический комбинат;Украина;48.4781;38.8071;Луганская обл., г. Алчевск, ул. Шмидта, 4;Доменный шлак;Никогда
30;Донецкий металлургический завод;Украина;47.9823;37.8106;83062, г. Донецк, ул. Ивана Ткаченко, 122;Доменный шлак;Никогда
31;Макеевский металлургический завод;Украина;48.0554;37.9477;Донецкая обл., г. Макеевка;Доменный шлак;Никогда
32;Константиновский металлургический завод;Украина;48.5333;37.7167;Донецкая обл., г. Константиновка;Доменный шлак;Никогда
33;ПАО «Электрометаллургический завод «Днепроспецсталь»;Украина;47.8388;35.1384;г. Запорожье;Электросталеплавильный шлак;Никогда
34;ПАО «Краматорский завод «Энергомашспецсталь»;Украина;48.7409;37.5841;Донецкая обл., г. Краматорск;Электросталеплавильный шлак;Никогда
35;Зангезурский медно-молибденовый комбинат (ЗММК);Армения;39.1500;46.1500;Сюникская обл., г. Каджаран, ул. Лернагорцнери, 18;Шламы медномолибденового обогащения;Никогда
36;Агаракский медно-молибденовый комбинат (АМК);Армения;38.8667;46.2000;Сюникская обл., г. Агарак;Шламы медномолибденового обогащения;Никогда
37;«Азербайджанский алюминиевый завод»;Азербайджан;40.6833;46.3667;г. Гянджа;Красные шламы;Никогда
38;Бакинский сталелитейный завод (Bakı Polad);Азербайджан;40.4333;49.8167;г. Баку, пос. Бинагады;Электросталеплавильный шлак;Никогда
39;Таджикский алюминиевый завод (ТАЛКО);Таджикистан;37.5000;68.2333;735014, г. Турсунзаде;Шлаки электролиза алюминия, фторсодержащие отходы;Никогда
40;АО «АрселорМиттал Темиртау»;Казахстан;50.0640;72.9983;Карагандинская обл., г. Темиртау, пр. Республики, 1;Доменный и сталеплавильный шлак;Никогда
41;АО «Евраз Казахстан»;Казахстан;50.0640;72.9983;Карагандинская обл., г. Темиртау;Доменный и конвертерный шлак;Никогда
42;ТНК «Казхром»;Казахстан;50.2834;57.2299;030008, г. Актобе, ул. М. Маметовой, 4а;Шлаки ферросплавного производства;Никогда
43;АО «Алюминий Казахстана»;Казахстан;52.3000;76.9500;г. Павлодар;Шлаки электролиза алюминия и красные шламы;Никогда
44;Корпорация «Казахмыс»;Казахстан;46.8500;74.9500;Карагандинская обл., г. Балхаш, ул. Ленина, 1;Медные шлаки;Никогда
45;ОАО «Узметкомбинат»;Узбекистан;40.2061;69.2672;Ташкентская обл., г. Бекабад, ул. ГАЛАБА, 1;Электросталеплавильный шлак;Никогда
46;АО «Узбекско-немецкое совместное предприятие BEK»;Узбекистан;40.2061;69.2672;Ташкентская обл., г. Бекабад;Электросталеплавильный шлак;Никогда
47;Алмалыкский горно-металлургический комбинат (АГМК);Узбекистан;40.8307;69.6007;Ташкентская обл., г. Алмалык;Медные шлаки;Никогда
48;Навоийский ГМК (НГМК);Узбекистан;40.0833;65.3833;Навоийская обл., г. Навои;Медные шлаки;Никогда
49;АГМК (комбинат «Узцинк»);Узбекистан;40.8307;69.6007;Ташкентская обл., г. Алмалык;Шлаки свинцово-цинкового производства;Никогда
50;АО «Хайдарканский ртутный завод»;Кыргызстан;39.9000;71.5000;Баткенская обл., г. Хайдаркан;Шлаки и шламы ртутного производства, отвалы сурьмяных руд;Никогда
