№;Название;Страна;Широта;Долгота;Адрес;Компания;Тип угля;Кто покупает;Статус
15;Шахта Комсомольская;РФ;67.5498;63.8067;Республика Коми, г. Воркута, пгт Комсомольский;АО «ВоркутаУголь»;каменный;Внутренний рынок (Северсталь);Никогда
16;Шахта Воркутинская;РФ;67.5252;64.0171;Республика Коми, г. Воркута;АО «ВоркутаУголь»;каменный;Внутренний рынок (Северсталь);Никогда
17;Шахта Ерунаковская-VIII;РФ;53.9;87.3 (прибл.);Кемеровская обл., г. Новокузнецк;АО «ОУК «Южкузбассуголь»;каменный;Металлургические и коксохимические предприятия РФ и на экспорт;Никогда
18;Шахта Осинниковская;РФ;53.6673;87.3329 (прибл.);Кемеровская обл., г. Осинники;ООО «Шахта Осинниковская»;каменный;Внутренний рынок (в составе ЕВРАЗа);Никогда
19;Шахта Есаульская;РФ;53.9250;87.4100 (прибл.);Кемеровская обл., г. Новокузнецк;ООО «Шахта Есаульская»;каменный;Внутренний рынок;Никогда
20;Шахта Распадская-Коксовая;РФ;53.8;88.1 (прибл.);Кемеровская обл., г. Междуреченск;АО «Распадская-Коксовая»;каменный;Внутренний рынок (в составе ЕВРАЗа);Никогда
21;Шахта Воргашорская;РФ;67.5920;63.6242;Республика Коми, г. Воркута, пгт Воргашор;АО «ВоркутаУголь»;каменный;Внутренний рынок (Северсталь);Никогда
22;Шахта им. В.Д. Ялевского;РФ;54.0;86.5 (прибл.);Кемеровская обл., Прокопьевский р-н, с. Котино;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
23;Шахта им. А.Д. Рубана;РФ;54.6849;86.1824;Кемеровская обл., г. Ленинск-Кузнецкий;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
24;Шахта Распадская;РФ;53.7291;88.0846;Кемеровская обл., г. Междуреченск;ПАО «Распадская»;каменный;Внутренний рынок (в составе ЕВРАЗа);Никогда
25;Шахта Талдинская-Западная 2;РФ;54.1506;87.1162 (прибл.);Кемеровская обл., Прокопьевский р-н;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
26;Шахта УК «Межегейуголь»;РФ;51.5;94.5 (прибл.);Республика Тыва;ООО «УК «Межегейуголь»;каменный;Внутренний рынок (в составе «Распадской»);Никогда
27;Шахта Южная;РФ;55.6006;86.0972;Кемеровская обл., г. Берёзовский;АО «Черниговец»;каменный;Внутренний рынок;Никогда
28;Шахта Березовская;РФ;55.6;86.1 (прибл.);Кемеровская обл., г. Берёзовский;АО «УК «Северный Кузбасс»;каменный;Внутренний рынок;Никогда
29;Шахта Листвяжная;РФ;54.5209;86.3946;Кемеровская обл., пгт Грамотеино;ООО «Шахта «Листвяжная»;каменный;Внутренний рынок;Никогда
30;Шахта Талдинская-Западная 1;РФ;54.1773;87.1036;Кемеровская обл., Прокопьевский р-н;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
31;Шахта Увальная;РФ;54.0953;87.5603;Кемеровская обл., Новокузнецкий р-н, пос. Увал;АО «Угольная компания Сибирская»;каменный;Внутренний рынок;Никогда
32;Шахта Первомайская;РФ;55.7211;86.1720;Кемеровская обл., Кемеровский р-н, п. Разведчик;АО «УК «Северный Кузбасс»;каменный;Внутренний рынок;Никогда
33;Шахта № 12;РФ;54.0053;86.6710 (прибл.);Кемеровская обл., г. Киселевск;ООО «Шахта №12»;каменный;Внутренний рынок (в составе «Стройсервис»);Никогда
34;Шахта Полысаевская;РФ;54.5340;86.2162 (прибл.);Кемеровская обл., г. Полысаево;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
35;Шахта Антоновская;РФ;53.8770;87.3117;Кемеровская обл., г. Новокузнецк;АО «Шахта «Антоновская»;каменный;Внутренний рынок;Никогда
36;Шахта Большевик;РФ;53.9;87.35 (прибл.);Кемеровская обл., г. Новокузнецк;АО «Шахта «Большевик»;каменный;Внутренний рынок;Никогда
37;Шахта Полосухинская;РФ;53.9218;87.3243;Кемеровская обл., г. Новокузнецк;АО «Шахта «Полосухинская»;каменный;Внутренний рынок;Никогда
38;Шахта Чертинская-Коксовая;РФ;54.3217;86.3348 (прибл.);Кемеровская обл., г. Белово;ООО «ММК-УГОЛЬ»;каменный;ПАО «ММК»;Никогда
39;Шахта «Северная»;РФ;67.5867;64.0983;Республика Коми, г. Воркута;АО «ВоркутаУголь»;каменный;Внутренний рынок (Северсталь);Никогда
40;Шахта «Интинская»;РФ;66.0173;60.1313 (прибл.);Республика Коми, г. Инта;ОАО Шахта «Интауголь»;каменный;Внутренний рынок;Никогда
41;Шахта «Восточная»;РФ;48.06;39.94 (прибл.);Ростовская обл., г. Гуково;ПО «Гуковуголь»;каменный;Внутренний рынок;Никогда
42;Шахта «Антрацит»;РФ;47.78;39.95 (прибл.);Ростовская обл.;ООО «Шахта «Антрацит»;антрацит;Внутренний рынок;Никогда
43;Шахта «Ростовская»;РФ;48.0166;39.8318 (прибл.);Ростовская обл., г. Гуково;ООО «Кингкоул»;антрацит;Внутренний рынок;Никогда
44;Шахта «Садкинская»;РФ;47.8500;40.8318 (прибл.);Ростовская обл., Белокалитвинский р-н;ООО «Южная угольная компания»;антрацит;Внутренний рынок;Никогда
45;Шахта «Обуховская»;РФ;48.0;40.0 (прибл.);Ростовская обл., г. Зверево;ДТЭК;антрацит;Внутренний рынок (металлургические заводы);Никогда
46;Шахта «Дальняя»;РФ;47.7096;40.2158 (прибл.);Ростовская обл., Красносулинский р-н;ДТЭК;каменный;Внутренний рынок;Никогда
47;Шахта № 410;РФ;47.7122;40.2058 (прибл.);Ростовская обл.;ДТЭК;антрацит;Внутренний рынок (в режиме консервации);Никогда
48;Шахта «Алардинская»;РФ;53.3839;87.3663 (прибл.);Кемеровская обл., г. Калтан, пос. Малиновка;ОАО ОУК «Южкузбассуголь»;каменный;Внутренний рынок;Никогда
49;Шахта «Усковская»;РФ;53.7544;87.1071;Кемеровская обл., г. Новокузнецк;ОАО ОУК «Южкузбассуголь»;коксующийся марки ГЖ;Внутренний рынок (в составе «Распадской»);Никогда
50;Шахта «Томусинская 5-6»;РФ;53.6866;88.0704;Кемеровская обл., г. Междуреченск;Распадская Угольная Компания;коксующийся;Внутренний рынок (в составе ЕВРАЗа);Никогда
51;Шахта «Бутовская»;РФ;55.4787;86.0809 (прибл.);Кемеровская обл., г. Кемерово;ПАО «КОКС»;коксующийся;Внутренний рынок;Никогда
52;Шахта Кыргайская;РФ;54.1340;87.1663 (прибл.);Кемеровская обл., Прокопьевский р-н, с. Большая Талда;АО «Шахтоуправление Талдинское-Кыргайское»;каменный;Внутренний рынок;Никогда
53;Шахта «Грамотеинская»;РФ;54.5673;86.4162 (прибл.);Кемеровская обл., пгт Грамотеино;ООО УК «ЗапСибУголь»;каменный;Внутренний рынок;Никогда
54;Шахта имени С.М. Кирова;РФ;54.6523;86.1526;Кемеровская обл., г. Ленинск-Кузнецкий;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
55;Шахта имени 7 Ноября-Новая;РФ;54.5711;86.3838;Кемеровская обл., г. Ленинск-Кузнецкий;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
56;Шахта «Котинская»;РФ;54.0;86.4 (прибл.);Кемеровская обл., г. Киселёвск;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
57;Шахта «Алексиевская»;РФ;54.1;86.2 (прибл.);Кемеровская обл., г. Ленинск-Кузнецкий;АО «СУЭК-Кузбасс»;каменный;Внутренний рынок и экспорт (в составе СУЭК);Никогда
58;Чырагское месторождение;Азербайджан;40.8;45.5 (прибл.);Товузский район;—;каменный;Внутренний рынок;Никогда
59;Гушчу-Мехманинское месторождение;Азербайджан;40.8;45.5 (прибл.);Товузский район;—;каменный;Внутренний рынок;Никогда
60;Шамкир-Чандахбинское месторождение;Азербайджан;40.8;46.0 (прибл.);село Чандахбина;—;каменный;Внутренний рынок;Никогда
61;Зуванд-Ярдымлинское месторождение;Азербайджан;38.9;48.2 (прибл.);Ярдымлинский район;—;бурый;Внутренний рынок;Никогда
62;Шахта Фан-Ягноб;Таджикистан;39.0;69.0 (прибл.);Раштская долина, п. Наугарзан;—;каменный;Внутренний рынок;Никогда
63;Зиддинское угольное месторождение;Таджикистан;40.2;69.7 (прибл.);Бабоджан-Гафуровский район;—;каменный;Внутренний рынок;Никогда
64;Назарайлокское угольное месторождение;Таджикистан;38.6;68.3 (прибл.);Шахринауский район;—;бурый;Внутренний рынок;Никогда
65;Шахта «Шураб»;Таджикистан;40.0;70.5 (прибл.);г. Шураб;—;бурый;Внутренний рынок;Никогда
66;Мионаду (Миёнаду);Таджикистан;37.5;69.0 (прибл.);Хатлонская область;—;бурый;Внутренний рынок;Никогда
67;Сарвати-и Боло;Таджикистан;38.5;70.0 (прибл.);Нурабадский район;—;бурый;Внутренний рынок;Никогда
68;Шахта «Степная» (Казахстан);Казахстан;49.7;72.6 (прибл.);г. Шахтинск;—;коксующийся;Внутренний рынок, экспорт;Никогда
69;Шахта «Абайская»;Казахстан;49.8;73.1 (прибл.);г. Караганда;—;коксующийся;Внутренний рынок, экспорт;Никогда
70;Шахта «Шахтинская»;Казахстан;49.7;72.6 (прибл.);г. Шахтинск;—;коксующийся;Внутренний рынок, экспорт;Никогда
71;Шахта «Тентекская»;Казахстан;49.7;72.6 (прибл.);г. Шахтинск;—;коксующийся;Внутренний рынок, экспорт;Никогда
72;Шахта «Кузнецкая»;Казахстан;49.8;72.8 (прибл.);г. Сарань;—;коксующийся;Внутренний рынок, экспорт;Никогда
73;Шахта «Саранская»;Казахстан;49.8;72.8 (прибл.);г. Сарань;—;коксующийся;Внутренний рынок, экспорт;Никогда
74;Майкубенский разрез;Казахстан;51.5;75.8 (прибл.);Павлодарская область, пос. Майкаин;АО «БРК»;бурый;Внутренний рынок (энергетика);Никогда
75;Шахта имени Костенко;Казахстан;49.8;73.1 (прибл.);г. Караганда;Qarmet;каменный;Внутренний рынок (металлургия);Никогда
76;Шахта имени Кузембаева;Казахстан;49.8;72.8 (прибл.);г. Сарань;—;каменный;Внутренний рынок, экспорт;Никогда
77;Шахта Казахстанская;Казахстан;49.8;73.1 (прибл.);г. Караганда;Qarmet;каменный;Внутренний рынок (металлургия);Никогда
78;Шахта имени Ленина;Казахстан;49.7;72.6 (прибл.);г. Шахтинск;—;коксующиеся и энергетические;Внутренний рынок, экспорт;Никогда
79;Шахта «Ангренская»;Узбекистан;41.0;70.1 (прибл.);г. Ангрен;—;бурый;Внутренний рынок (энергетика);Никогда
80;Шахта «Шаргуньская»;Узбекистан;38.0;67.0 (прибл.);г. Шаргунь;—;антрациты, тощие, коксующиеся;Внутренний рынок;Никогда
81;Шахта «Байсунская»;Узбекистан;38.2;67.2 (прибл.);Байсунский район;—;каменный;Внутренний рынок;Никогда
82;Шахта «Самсоновская-Западная»;Украина;48.1;37.3 (прибл.);Донецкая обл., г. Селидово;—;антрацит;Внутренний рынок (до 2014);Никогда
83;Шахта «Кураховская»;Украина;47.9;37.3 (прибл.);Донецкая обл., г. Курахово;—;газовый;Внутренний рынок (до 2014);Никогда
84;Шахта Новодружевская;Украина;48.9;38.3 (прибл.);Донецкая обл., г. Курахово;—;газовый;Внутренний рынок (до 2014);Никогда
85;Шахта «Днепровская»;Украина;48.3;36.4 (прибл.);Донецкая обл., г. Першотравенск;—;антрацит;Внутренний рынок (до 2014);Никогда
86;Шахта «Павлоградская»;Украина;48.5;35.9 (прибл.);г. Павлоград;—;газовый;Внутренний рынок (до 2014);Никогда
87;Шахта «Южнодонбасская №1»;Украина;48.5;35.9 (прибл.);г. Павлоград;—;газовый;Внутренний рынок (до 2014);Никогда
88;Шахта имени Героев Космоса;Украина;48.0;37.0 (прибл.);Донецкая обл., пгт Юрьевка;—;антрацит;Внутренний рынок (до 2014);Никогда
89;Шахта «Межиреченская»;Украина;50.2;24.0 (прибл.);Львовская обл., г. Сосновка;—;газовый;Внутренний рынок;Никогда
90;Шахта «Степная»;Украина;50.4;24.2 (прибл.);Львовская обл., г. Червоноград;—;газовый;Внутренний рынок;Никогда
91;Шахта «Великомостовская»;Украина;50.2;24.1 (прибл.);Львовская обл., г. Великие Мосты;—;газовый;Внутренний рынок;Никогда
92;Шахта «Лиственская»;Украина;50.7;24.6 (прибл.);Волынская обл., г. Нововолынск;—;газовый;Внутренний рынок;Никогда
93;Шахта «им. А.Ф. Засядько»;Украина;48.0;37.8 (прибл.);Донецкая обл., г. Донецк;—;коксующийся;Внутренний рынок (до 2014);Никогда
94;Шахта «Краснолиманская»;Украина;48.4;37.8 (прибл.);Донецкая обл., г. Родинское;—;коксующийся;Внутренний рынок (до 2014);Никогда
