№;Название;Страна;Широта;Долгота;Адрес;Холдинг;Что производит;Статус
76;Ключевская обогатительная фабрика (КОФ);РФ;56.5;60.65;Свердловская обл., п. Двуреченск;—;Ферросплавы, лигатуры ;Никогда
77;ООО «Кварцевые пески»;РФ;54.0;37.0;Тульская обл., д. Березовый Овраг;—;Формовочный, кварцевый, стекольный песок ;Никогда
78;Уралграфит;РФ;55.7060;60.5559;Челябинская обл., г. Кыштым;—;Графит ;Никогда
79;Режникель;РФ;57.3667;61.3833;Свердловская обл., г. Реж;—;Никелевые руды ;Никогда
81;Таштагольский ГОК;РФ;52.7833;87.8667;Кемеровская обл., г. Таштагол;—;Железная руда ;Никогда
82;Кимканский ГОК;РФ;49.0;132.0;Еврейская АО, с. Кимкан;—;Железорудный концентрат ;Никогда
83;Сибайский ГОК;РФ;52.7;58.65;Республика Башкортостан, г. Сибай;—;Медный, цинковый концентраты ;Никогда
84;Удоканский ГОК;РФ;56.0;118.0;Забайкальский край, Каларский р-н;—;Медный концентрат ;Никогда
85;Южуралникель;РФ;51.2;58.6167;Оренбургская обл., г. Орск;—;Никелевый концентрат ;Никогда
86;ГМК «Дальполиметалл»;РФ;44.55;135.5667;Приморский край, г. Дальнегорск;—;Свинцовый, цинковый концентраты ;Никогда
87;Кольский Апатит;РФ;67.6;33.6;Мурманская обл., г. Кировск;—;Апатитовый, нефелиновый концентраты ;Никогда
88;Восточно-Сибирский ГОК;РФ;52.75;103.65;Иркутская обл., г. Усолье-Сибирское;—;Апатит-штаффелитовый концентрат ;Никогда
89;Холбинский ГОК;РФ;52.0;111.0;Республика Бурятия, п. Городок;—;Золотосодержащая руда ;Никогда
90;Соврудник;РФ;49.0;140.0;Хабаровский край, г. Советская Гавань;—;Золотосодержащая руда ;Никогда
91;Каральвеемский ГОК;РФ;67.0;174.0;Чукотский АО;—;Золотосодержащая руда ;Никогда
92;Многовершинный ГОК;РФ;50.0;140.0;Хабаровский край, п. Многовершинный;—;Золотосодержащая руда ;Никогда
93;Нежданинский ГОК;РФ;62.0;138.0;Республика Саха (Якутия);—;Золотосодержащая руда ;Никогда
94;Мирнинский ГОК;РФ;62.5333;113.9667;Республика Саха (Якутия), г. Мирный;—;Алмазы ;Никогда
95;Архангельский ГОК;РФ;65.25;41.0;Архангельская обл., п. Новый;—;Алмазы ;Никогда
96;Тельмановский ГОК;РФ;53.0;84.0;Алтайский край, п. Тельмана;—;Магнезит ;Никогда
97;Соликамский магниевый завод;РФ;59.6333;56.7667;Пермский край, г. Соликамск;—;Магний, титановый шлак ;Никогда
98;Ярегский нефтетитановый комбинат;РФ;63.4167;53.4167;Республика Коми, п. Ярега;—;Титановая руда, нефть ;Никогда
99;Кольская ГМК;РФ;67.9333;32.8167;Мурманская обл., г. Мончегорск;—;Медь, никель, кобальт ;Никогда
100;Приаргунское ПХГКО;РФ;50.1;118.0;Забайкальский край, г. Краснокаменск;—;Уран ;Никогда
101;Хиагдинское ППГХО;РФ;53.0;113.0;Республика Бурятия, п. Багдарин;—;Уран ;Никогда
102;Дальневосточный ГОК «Солнечный»;РФ;50.7167;136.6333;Хабаровский край, г. Солнечный;—;Оловянный концентрат ;Никогда
103;Эльконский ГОК;РФ;56.8;124.3;Республика Саха (Якутия);—;Уран ;Никогда
104;ОАО «Беларуськалий»;Беларусь;53.8833;27.55;г. Минск;—;Калийные (сильвинитовые) соли ;Никогда
105;ОАО «Белорусский цементный завод»;Беларусь;53.3369;32.0553;Могилёвская обл., г. Костюковичи;—;Мергель и мел ;Никогда
106;ОАО «Красносельскстройматериалы»;Беларусь;53.2708;24.4292;Гродненская обл., Волковысский р-н, п. Красносельский;—;Мел и мергель ;Никогда
107;ОАО «Доломит»;Беларусь;55.1833;30.2;г. Витебск;—;Доломитовая порода ;Никогда
108;ОАО «Гранит»;Беларусь;52.2167;27.4833;Брестская обл., п. Микашевичи;—;Гранит ;Никогда
109;РУПП «Гранит»;Беларусь;53.6;24.5167;Гродненская обл., г. Щучин;—;ПГС, песок, гравий ;Никогда
110;Нежинский ГОК;Беларусь;52.7;28.0;Минская обл., Любанский р-н;ОАО «Беларуськалий» ;Калийная руда ;Никогда
111;Петриковский ГОК;Беларусь;52.1333;28.май;г. Солигорск;ОАО «Беларуськалий» ;Хлористый калий ;Никогда
112;Гомельский ГОК;Беларусь;52.4333;31.0;Гомельская обл., аг. Круговец-Калинино;—;Кварц, стекольный песок ;Никогда
113;Васильковский ГОК;Казахстан;49.9833;82.6;г. Усть-Каменогорск;—;Золото (99,99 %) ;Никогда
114;Донской ГОК;Казахстан;50.2834;57.2299;г. Актобе;—;Хромовые концентраты ;Никогда
115;Жайремский ГОК;Казахстан;47.95;74.0;Карагандинская обл., пгт Жайрем;—;Концентраты марганца, барита, цинка, свинца ;Никогда
116;Соколовско-Сарбайское ГОПО;Казахстан;52.95;63.1167;Костанайская обл., г. Рудный;—;Железная руда ;Никогда
117;Лисаковский ГОК;Казахстан;52.5333;62.5;Костанайская обл., г. Лисаковск;—;Сырая руда, рудный концентрат ;Никогда
118;Нурказганский ГОК;Казахстан;49.6333;73.3;Карагандинская обл., Бухар-Жырауский р-н;—;Меднорудное сырье ;Никогда
119;Карагайлинский ГОК;Казахстан;49.65;73.4;Карагандинская обл., п. Карагайлы;—;Полиметаллическое сырье ;Никогда
120;Обуховский ГОК;Казахстан;53.0;69.0;Северо-Казахстанская обл., Тайыншинский р-н;—;Титано-циркониевые руды ;Никогда
121;Северный ГОК;Украина;47.9;33.35;Днепропетровская обл., г. Кривой Рог;—;Железорудный концентрат, окатыши ;Никогда
122;Марганецкий ГОК;Украина;47.6333;34.6167;Днепропетровская обл., г. Марганец;—;Концентраты марганцевой руды ;Никогда
123;Просянский ГОК;Украина;48.1167;33.2167;Днепропетровская обл., пгт Просяная;—;Каолин, пески кварцевые ;Никогда
124;Полтавский ГОК;Украина;49.0;33.6667;г. Горишние Плавни;—;Железорудные окатыши ;Никогда
125;Новоселовский ГОК;Украина;49.5667;36.65;Харьковская обл., с. Новоселовка;—;Песок кварцевый ;Никогда
126;ПАО «Ингулецкий ГОК» (ИнГОК);Украина;47.6833;33.1333;Днепропетровская обл., г. Кривой Рог;—;Железная руда ;Никогда
127;ПАО «Центральный ГОК» (ЦГОК);Украина;47.95;33.3833;Днепропетровская обл., г. Кривой Рог;—;Железная руда ;Никогда
128;ПАО «Южный ГОК» (ЮГОК);Украина;47.8667;33.3333;Днепропетровская обл., г. Кривой Рог;—;Железная руда ;Никогда
129;ПАО «Новокриворожский ГОК» (НКГОК);Украина;47.9833;33.4167;Днепропетровская обл., г. Кривой Рог;—;Железная руда ;Никогда
130;ПАО «Днепровский ГОК» (ДнепрГОК);Украина;48.5167;34.6;г. Каменское;—;Железная руда ;Никогда
131;ПАО «Орджоникидзевский ГОК» (ОрджГОК);Украина;47.6667;34.25;Днепропетровская обл., г. Покров;—;Марганцевая руда ;Никогда
132;ПАО «Иршанский ГОК»;Украина;50.7333;28.8333;Житомирская обл., пгт Иршанск;—;Ильменитовые руды ;Никогда
133;ПАО «Вольногорский ГМК» (ВГМК);Украина;48.45;34.0167;Днепропетровская обл., г. Вольногорск;—;Циркон-ильменитовые руды ;Никогда
134;Николаевский глиноземный завод (НГЗ);Украина;46.9667;32.0;г. Николаев;—;Глинозем ;Никогда
135;ЗАО «Лафарж Цемент» (Lafarge Ciment);Молдова;47.0167;28.8333;г. Криково;—;Мергель и глина ;Никогда
136;ООО «Гипс-Кнауф Молдова» (Knauf);Молдова;46.8333;29.4833;г. Бендеры;—;Гипсовый камень ;Никогда
137;Зангезурский медно-молибденовый комбинат;Армения;39.15;46.15;Сюникская обл., г. Каджаран;—;Молибденовый и медный концентраты ;Никогда
138;Агаракский медно-молибденовый комбинат (АММК);Армения;38.8667;46.2;Сюникская обл., г. Агарак;—;Медная и молибденовая руда ;Никогда
139;ГОК «Меградзор»;Армения;40.6;44.65;Котайкская обл., пос. Меградзор;Полиметалл ;Золотосодержащая руда ;Никогда
140;Золоторудное месторождение «Сотка»;Армения;40.1667;45.8333;Гегаркуникская обл., с. Сотк;—;Золотосодержащая руда ;Никогда
141;Капанский ГОК (ЗАО “Капанский ГOK”);Армения;39.2;46.4;Сюникская обл., г. Капан;—;Полиметаллические руды ;Никогда
142;Човдарский золоторудный комбинат (ГОК);Азербайджан;40.5333;45.8;Кедабекский р-н, с. Човдар;—;Золотосодержащая руда ;Никогда
143;Гызылбулагский золоторудный комбинат (ГОК);Азербайджан;40.5667;45.8167;Кедабекский р-н, с. Гызылбулаг;—;Золотосодержащая руда ;Никогда
144;Кедабекский медно-золотой комбинат;Азербайджан;40.5667;45.8167;г. Кедабек;—;Медная и золотосодержащая руда ;Никогда
145;Дашкесанский ГОК (железорудный);Азербайджан;40.4833;46.0667;г. Дашкесан;—;Железная руда ;Никогда
146;Зайликский медно-кобальтовый комбинат;Азербайджан;40.5;46.0;Дашкесанский р-н, с. Зайлык;—;Медно-кобальтовая руда ;Никогда
147;Гарлыкский ГОК;Туркменистан;37.8;66.2;Лебапский велаят, г. Гарлык;—;Калийные соли ;Никогда
148;Таджикский алюминиевый завод (ТАЛКО);Таджикистан;37.5;68.2333;г. Турсунзаде;—;Бокситы и нефелиновые сиениты ;Никогда
149;Золоторудное месторождение «Джеруй»;Таджикистан;39.5;67.6;Согдийская обл., г. Пенджикент;—;Золото ;Никогда
150;Золоторудный комбинат «Апрелевка»;Таджикистан;40.6;69.6667;г. Истиклол;—;Золотосодержащая руда ;Никогда
151;Серебряный рудник «Кончоч»;Таджикистан;39.5;68.0;Согдийская обл.;—;Серебро, золото, свинец, цинк ;Никогда
152;Свинцово-цинковый рудник «Алтын-Топкан»;Таджикистан;40.65;69.6667;пос. Алтын-Топкан;—;Свинец, цинк, висмут, кадмий ;Никогда
153;Адрасманский ГОК;Таджикистан;40.6333;69.9833;Согдийская обл., пос. Адрасман;—;Свинцово-цинковый, висмутовый концентраты ;Никогда
154;ООО СП «Зарафшон»;Таджикистан;39.5;67.6;Пенджекентский р-н, пос. Согдиана;—;Золото ;Никогда
155;Алмалыкский ГМК (АГМК);Узбекистан;40.8307;69.6007;Ташкентская обл., г. Алмалык;—;Медь, золото, серебро, цинк ;Никогда
156;Навоийский ГМК (НГМК);Узбекистан;40.0833;65.3833;г. Навои;—;Золото ;Никогда
157;Акташское ГМП (проект «Актау»);Узбекистан;40.7333;69.0;Ташкентская обл., г. Акташ;—;Вольфрам, молибден, медь ;Никогда
158;Нурабадский горно-химический комплекс;Узбекистан;40.5333;65.8333;Нурабадский р-н;—;Уран ;Никогда
159;Золоторудное месторождение «Кумтор» (Kumtor Gold Mine);Кыргызстан;41.85;78.2;Иссык-Кульская обл.;—;Золото ;Никогда
160;Золоторудное месторождение «Джеруй» (Jerooy);Кыргызстан;42.5;71.0;Таласская обл.;—;Золото и медь ;Никогда
161;Макмалзолото (Макмальское месторождение);Кыргызстан;41.4;71.7;Джалал-Абадская обл., Чаткальский р-н;—;Золото ;Никогда
162;«Кадамджайский сурьмяный комбинат»;Кыргызстан;40.25;71.5833;Баткенская обл., г. Кадамжай;—;Сурьмяные руды ;Никогда
163;Chaarat Gold;Кыргызстан;—;—;Лондон, Великобритания;—;Золото, медь и серебро ;Никогда
