№;Название;Страна;Широта;Долгота;Адрес;Что возят через них;Статус
18;Мурманский порт;РФ;68.9784;33.0682;183001, г. Мурманск, ул. Траловая, д. 12;Уголь, железорудный концентрат, удобрения;Никогда
19;Восточный порт;РФ;42.7288;133.0825;692941, Приморский край, г. Находка, п. Врангель, ул. Внутрипортовая, д. 47;Уголь, контейнеры, нефть;Никогда
20;Санкт-Петербургский порт;РФ;59.9193;30.3270;199225, г. Санкт-Петербург, пр-кт Крузенштерна, д. 18, стр. 4;Контейнеры, ро-ро, автомобили, металлы, удобрения;Никогда
21;Морской порт в Махачкале;РФ;42.9833;47.5;367000, г. Махачкала, ул. Порт-Петровская, зд. 24, стр. 11;Нефть, зерно, стройматериалы;Никогда
22;Морской порт в Туапсе;РФ;44.0953;39.0716;352800, г. Туапсе, ул. Морской бульвар, д. 2;Металлы, руды, зерно, нефть, уголь;Никогда
23;Владивостокский порт;РФ;43.1167;131.8833;690065, г. Владивосток, ул. Стрельникова, д. 9;Контейнеры, рыбопродукция, навалочные грузы, автотехника;Никогда
24;Калининградский порт;РФ;54.7;20.4667;236003, г. Калининград, ул. Портовая, д. 24;Контейнеры, сырье, товары;Никогда
25;Находкинский порт;РФ;~42.82;~132.88;692900, г. Находка, ул. Портовая, д. 22;Уголь, металлопрокат, нефть, контейнеры;Никогда
26;Петропавловск-Камчатский порт;РФ;53.0;158.65;683000, г. Петропавловск-Камчатский, пл. Г.И. Щедрина, д. 2;Рыба, контейнеры, уголь;Никогда
27;Геленджикский порт;РФ;44.55;38.0833;353460, г. Геленджик, ул. Портовая, д. 1;Нефтепродукты, стройматериалы;Никогда
28;Сочинский порт;РФ;43.581;39.7183;354000, г. Сочи, ул. Войкова, д. 1, оф. 215;Пассажирские перевозки, генеральные грузы;Никогда
29;Севастопольский порт;РФ;44.6167;33.5333;299014, г. Севастополь, ул. Рыбаков, д. 5 (фактический);Универсальный (военные и коммерческие грузы);Никогда
30;Порт-Кавказ;РФ;45.3397;36.6706;353545, Краснодарский край, Темрюкский р-н, п. Чушка, ул. Железнодорожная, д. 17;Нефть, зерно, паромные перевозки;Никогда
31;Ванинский морской торговый порт;РФ;49.0887;140.2663;682860, Хабаровский край, п. Ванино, ул. Железнодорожная, д. 1;Уголь, лес, контейнеры;Никогда
32;Морской порт Тамань;РФ;45.125;36.6833;353535, Краснодарский край, тер. Морской порт Тамань, д. 2, оф. 1;Уголь, зерно, нефтепродукты, удобрения;Никогда
33;Азовский морской порт;РФ;47.1184;39.4214;346780, г. Азов, ул. Петровская, д. 2;Зерно, стройматериалы, металл;Никогда
34;АО «Ростовский порт»;РФ;47.2201;39.75;344019, г. Ростов-на-Дону, ул. Береговая, д. 30;Зерно, уголь, металл, контейнеры;Никогда
35;ММПК «Бронка»;РФ;59.9331;29.6917;198412, г. Санкт-Петербург, г. Ломоносов, Краснофлотское шоссе, д. 49А;Контейнеры, ро-ро грузы;Никогда
36;БЕЛОМОРСКИЙ МОРСКОЙ ПОРТ;РФ;~64.5747;~35.2333;186500, Республика Карелия, г. Беломорск, ул. Порт-Поселок, д. зд. радиостанции;Лес, уголь, стройматериалы;Никогда
37;Таганрогский морской торговый порт;РФ;47.2063;38.9494;347900, г. Таганрог, ул. Комсомольский Спуск, д. 2;Зерно, уголь, металл;Никогда
38;ПОРТ ВЫСОЦКИЙ;РФ;60.6269;28.5614;188909, Ленинградская обл., Выборгский р-н, г. Высоцк, ул. Кировская, д. 3;Навалочные и генеральные грузы, нефть, зерно;Никогда
39;Порт Оля;РФ;45.7806;47.5527;416425, Астраханская обл., Лиманский р-н, с. Оля, ул. Чкалова, зд. 29;Зерно, стройматериалы, контейнеры;Никогда
40;Порт Байкал;РФ;51.8753;104.8006;664047, г. Иркутск, ул. Партизанская, д. 101, кв. 64;Речные грузы (стройматериалы, лес);Никогда
41;Ейский морской порт;РФ;46.7253;38.2744;353685, г. Ейск, ул. Портовая аллея, д. 5;Зерно, нефтепродукты;Никогда
42;Темрюкский морской торговый порт;РФ;45.3833;37.4167;353500, г. Темрюк, пер. Портовый;Зерно, уголь, сера;Никогда
43;Астрахань (порт);РФ;46.3437;47.9973;414006, г. Астрахань, ул. Пушкина, д. 66;Нефть, зерно, лес, контейнеры;Никогда
44;Махачкалинский международный морской торговый порт;РФ;42.9947;47.4677;367000, г. Махачкала, ул. Порт-Петровская, зд. 24, стр. 11;Нефть, зерно, контейнеры;Никогда
45;Корсаков (порт);РФ;46.6195;142.7683;694020, г. Корсаков, ул. Портовая, д. 10;Уголь, рыба, контейнеры;Никогда
46;Магадан (порт) «Ворота Колымы»;РФ;59.564;150.8479;685000, г. Магадан, ш. Портовое, зд. 211;Контейнеры, уголь, рыба, стройматериалы;Никогда
47;Москальво (порт);РФ;53.5461;142.5167;694496, Сахалинская обл., Охинский р-н, с. Москальво, ул. Восточная, д. 1;Уголь, лес;Никогда
48;Мыс Лазарева (порт);РФ;52.2167;141.5167;Хабаровский край, Николаевский р-н, рп Лазарев;Лес, уголь;Никогда
49;Николаевский-на-Амуре морской торговый порт;РФ;53.1356;140.7175;682460, г. Николаевск-на-Амуре, ул. Невельского, д. 10;Лес, уголь, рыба;Никогда
50;Охотск (порт);РФ;59.3513;143.1833;682480, Хабаровский край, рп Охотск, ул. Белолипского, д. 19;Рыба, лес;Никогда
51;Порт Поронайск;РФ;49.2277;143.119;694240, г. Поронайск, ул. Восточная, д. 1/1;Уголь, лес;Никогда
52;Морской порт бухты Троицы;РФ;42.6386;131.1;Приморский край, пос. Зарубино;Уголь, контейнеры, рыба;Никогда
53;Торговый порт Посьет;РФ;42.6472;130.8167;Приморский край;Уголь, контейнеры;Никогда
54;Холмский Морской Торговый Порт;РФ;~46.646;~141.858;г. Холмск;Уголь, лес, рыба;Никогда
55;Угольный морской порт Шахтерск;РФ;49.1619;142.0584;г. Шахтёрск;Уголь;Никогда
56;Морской порт Варандей;РФ;68.8;57.9833;посёлок Варандей;Нефть;Никогда
57;Морской порт Нарьян‑Мар;РФ;67.6749;53.0849;г. Нарьян-Мар;Нефтепродукты, стройматериалы, уголь;Никогда
59;Морской порт Витино;РФ;67.0833;32.3333;Мурманская область;Нефтепродукты, уголь;Никогда
60;Кандалакшский морской торговый порт;РФ;67.1435;32.4071;г. Кандалакша;Алюминий, уголь;Никогда
61;Морской порт Онега;РФ;63.9167;38.0833;г. Онега;Лес, уголь, стройматериалы;Никогда
62;Морской порт Певек;РФ;69.7034;170.2647;г. Певек;Уголь, контейнеры, продовольствие;Никогда
63;Порт Диксон;РФ;73.4426;80.7111;пгт Диксон;Уголь, стройматериалы, продовольствие;Никогда
64;Морской порт Дудинка;РФ;69.3988;86.1792;г. Дудинка;Уголь, руда, контейнеры;Никогда
65;Морской порт Сабетта;РФ;71.2667;72.0667;пос. Сабетта;Сжиженный природный газ (СПГ), газовый конденсат;Никогда
66;Морской порт «Тикси»;РФ;71.6393;128.8709;посёлок Тикси;Уголь, стройматериалы, продовольствие;Никогда
67;Морской порт Анадырь;РФ;64.7398;177.5053;г. Анадырь;Уголь, рыба, контейнеры;Никогда
68;Морской торговый порт Беринговский;РФ;~63.0667;~179.3667;п. Беринговский;Уголь;Никогда
69;Морской порт Эгвекинот;РФ;66.3163;-179.1092;п. Эгвекинот;Уголь;Никогда
70;"""Международный свободный порт Джурджулешты""";Молдова;45.4817;28.1972;Нет;;Никогда
71;Портов нет;Армения;-;-;Нет;;Никогда
72;Портов нет;Беларусь;-;-;Нет;;Никогда
73;Баку (Port of Baku);Азербайджан;40.3815;49.8878;Нет;;Никогда
74;Альятьı (Port of Alat);Азербайджан;39.9733;49.4389;Нет;;Никогда
75;"""Порт Дюбенди (Дюбендский нефтеналивной порт)""";Азербайджан;40.4335;50.2394;Нет;;Никогда
76;Порт Сангачал;Азербайджан;40.2013;49.4813;Нет;;Никогда
77;Евлахский речной порт;Азербайджан;40.6183;47.1501;Нет;;Никогда
78;"""Туркменбашинский международный морской порт""";Туркменистан;40.0;53.028;Нет;;Никогда
79;Порт Экерем (Хазар);Туркменистан;39.8814;53.0834;Нет;;Никогда
80;Порт Гарабогаз (Кара-Богаз-Гол);Туркменистан;41.5244;52.5725;Нет;;Никогда
81;Портов нет;Таджикистан;-;-;Нет;;Никогда
82;"""АО «НК «Актауский международный морской торговый порт»""";Казахстан;43.6014;51.2188;Нет;;Никогда
83;Порт Курык;Казахстан;43.2667;51.75;Нет;;Никогда
84;Порт Баутино;Казахстан;44.5808;50.2828;Нет;;Никогда
85;Порт Жетыбай;Казахстан;43.5499;52.1667;Нет;;Никогда
86;Порт Каражанбас;Казахстан;45.1224;51.4303;Нет;;Никогда
87;Портов нет;Узбекистан;-;-;Нет;;Никогда
88;Портов нет;Кыргызстан;-;-;Нет;;Никогда
89;Белгород-Днестровский морской порт, ГП;Украина;46.1867;30.3504;Нет;;Никогда
90;Бердянский морской торговый порт;Украина;46.7509;36.7747;Нет;;Никогда
91;Генический морской торговый порт, ГП;Украина;46.1625;34.8086;Нет;;Никогда
92;Евпаторийский морской торговый порт;Украина;45.1864;33.3808;Нет;;Никогда
93;Измаильский морской торговый порт;Украина;45.3341;28.8279;Нет;;Никогда
94;Керченский морской торговый порт, ГП;Украина;45.3631;36.6694;Нет;;Никогда
95;Мариупольский морской торговый порт;Украина;47.0619;37.5065;Нет;;Никогда
96;Морской торговый порт 'Южный', ГП;Украина;46.6333;31.май;Нет;;Никогда
97;Морской торговый порт Октябрьск;Украина;46.8333;31.95;Нет;;Никогда
98;Николаевский морской торговый порт, ГП;Украина;46.9483;31.9555;Нет;;Никогда
99;Одесский морской торговый порт;Украина;46.5036;30.7444;Нет;;Никогда
100;Ренийский морской торговый порт;Украина;45.4164;28.2879;Нет;;Никогда
101;Севастопольский морской торговый порт;Украина;44.6167;33.5333;Нет;;Никогда
102;Скадовский морской торговый порт;Украина;46.1075;32.9108;Нет;;Никогда
103;Усть-Дунайский морской торговый порт;Украина;45.467;29.7119;Нет;;Никогда
104;Феодосийский морской торговый порт;Украина;45.0262;35.3879;Нет;;Никогда
105;Херсонский морской торговый порт;Украина;46.6304;32.6204;Нет;;Никогда
106;Ялтинский морской торговый порт;Украина;44.4833;34.1833;Нет;;Никогда
107;Международный свободный порт Джурджулешты;Молдова;45.4817;28.1972;с. Джурджулешта;Нефтепродукты, зерно, контейнеры;Никогда
108;Портов нет;Армения;—;—;—;—;Никогда
109;Портов нет;Беларусь;—;—;—;—;Никогда
110;Баку (Port of Baku);Азербайджан;40.3815;49.8878;г. Баку;Нефть, нефтепродукты, контейнеры;Никогда
111;Альятьı (Port of Alat);Азербайджан;39.9733;49.4389;пос. Алят;Контейнеры, зерно, генеральные грузы;Никогда
112;Порт Дюбенди (Дюбендский нефтеналивной порт);Азербайджан;40.4335;50.2394;пос. Дюбенди;Нефть, нефтепродукты;Никогда
113;Порт Сангачал;Азербайджан;40.2013;49.4813;пос. Сангачал;Нефть, нефтепродукты;Никогда
114;Евлахский речной порт;Азербайджан;40.6183;47.1501;г. Евлах, на реке Кура;Речные грузы (стройматериалы, зерно);Никогда
115;Туркменбашинский международный морской порт;Туркменистан;40.0;53.028;г. Туркменбаши;Нефть, нефтепродукты, контейнеры, зерно;Никогда
116;Порт Экерем (Хазар);Туркменистан;39.8814;53.0834;пос. Экерем;Нефть;Никогда
117;Порт Гарабогаз (Кара-Богаз-Гол);Туркменистан;41.5244;52.5725;пос. Гарабогаз;Химическое сырье, стройматериалы;Никогда
118;Портов нет;Таджикистан;—;—;—;—;Никогда
119;АО «НК «Актауский международный морской торговый порт»;Казахстан;43.6014;51.2188;г. Актау;Нефть, нефтепродукты, зерно, контейнеры;Никогда
120;Порт Курык;Казахстан;43.2667;51.75;пос. Курык;Нефть;Никогда
121;Порт Баутино;Казахстан;44.5808;50.2828;пос. Баутино;Нефть;Никогда
122;Порт Жетыбай;Казахстан;43.5499;52.1667;пос. Жетыбай;Нефть;Никогда
123;Порт Каражанбас;Казахстан;45.1224;51.4303;район мыса Песчаный;Нефть;Никогда
124;Портов нет;Узбекистан;—;—;—;—;Никогда
125;Портов нет;Кыргызстан;—;—;—;—;Никогда
126;Белгород-Днестровский морской порт, ГП;Украина;46.1867;30.3504;г. Белгород-Днестровский;Зерно, стройматериалы;Никогда
127;Бердянский морской торговый порт;Украина;46.7509;36.7747;г. Бердянск;Зерно, металл, уголь;Никогда
128;Генический морской торговый порт, ГП;Украина;46.1625;34.8086;г. Геническ, Херсонская область;Зерно, стройматериалы;Никогда
129;Евпаторийский морской торговый порт;Украина;45.1864;33.3808;г. Евпатория, Крым;Стройматериалы, зерно;Никогда
130;Измаильский морской торговый порт;Украина;45.3341;28.8279;г. Измаил, Одесская область;Зерно, металл, контейнеры;Никогда
131;Керченский морской торговый порт, ГП;Украина;45.3631;36.6694;г. Керчь, Крым;Зерно, стройматериалы, паромные перевозки;Никогда
132;Мариупольский морской торговый порт;Украина;47.0619;37.5065;г. Мариуполь, Донецкая область;Уголь, металл, зерно;Никогда
133;Морской торговый порт 'Южный', ГП;Украина;46.6333;31.май;Одесская область;Зерно, руда, контейнеры;Никогда
134;Морской торговый порт Октябрьск;Украина;46.8333;31.95;г. Николаев;Зерно;Никогда
135;Николаевский морской торговый порт, ГП;Украина;46.9483;31.9555;г. Николаев;Зерно, руда, металл, контейнеры;Никогда
136;Одесский морской торговый порт;Украина;46.5036;30.7444;г. Одесса;Контейнеры, зерно, металл, нефтепродукты;Никогда
137;Ренийский морской торговый порт;Украина;45.4164;28.2879;г. Рени, Одесская область;Зерно, стройматериалы;Никогда
138;Севастопольский морской торговый порт;Украина;44.6167;33.5333;г. Севастополь;Универсальный (военные и коммерческие грузы);Никогда
139;Скадовский морской торговый порт;Украина;46.1075;32.9108;г. Скадовск, Херсонская область;Зерно, стройматериалы;Никогда
140;Усть-Дунайский морской торговый порт;Украина;45.467;29.7119;г. Вилково, Одесская область;Зерно, лес;Никогда
141;Феодосийский морской торговый порт;Украина;45.0262;35.3879;г. Феодосия, Крым;Нефтепродукты, зерно, стройматериалы;Никогда
142;Херсонский морской торговый порт;Украина;46.6304;32.6204;г. Херсон;Зерно, стройматериалы;Никогда
143;Ялтинский морской торговый порт;Украина;44.4833;34.1833;г. Ялта;Пассажирские перевозки, генеральные грузы;Никогда
